,Flight Path ID,Mission ID,Current Speed (meters / s),AGL (meters),Current Roll (degrees),Current Yaw (degrees),GPS Speed (meters / s),Pressure Altitude (meters),Current Pitch (degrees),Airborn,Time (s)
110,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.667
111,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.7
112,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.733
113,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.767
114,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.8
115,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.833
116,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.867
117,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.9
118,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.9330000000000003
119,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.967
120,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.0
121,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.033
122,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.067
123,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.1
124,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.133
125,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.167
126,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.2
127,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.2330000000000005
128,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.2669999999999995
129,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.3
130,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.333
131,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.367
132,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.4
133,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.433
134,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.467
135,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.5
136,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.533
137,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.567
138,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.6
139,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.633
140,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.667
141,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.7
142,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.7330000000000005
143,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.7669999999999995
144,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.8
145,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.833
146,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.867
147,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.9
148,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.933
149,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,4.967
150,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.0
151,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.033
152,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.067
153,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.1
154,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.132999999999999
155,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.167000000000001
156,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.2
157,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.233
158,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.267
159,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.3
160,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.332999999999999
161,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.367000000000001
162,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.4
163,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.433
164,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.4670000000000005
165,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.5
166,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.5329999999999995
167,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.567
168,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.6
169,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.632999999999999
170,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.667000000000001
171,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.7
172,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.733
173,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.767
174,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.8
175,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.832999999999999
176,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.867000000000001
177,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.9
178,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.933
179,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,5.9670000000000005
180,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.0
181,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.0329999999999995
182,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.067
183,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.1
184,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.132999999999999
185,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.167000000000001
186,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.2
187,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.233
