,GPS Position East (degrees),GPS Position North (degrees),GPS Altitude (meters),Mission ID
9194,76.14273252,39.4773883,259.69,1
9195,76.14273252,39.4773883,259.69,1
9196,76.14264211,39.47737593,259.69,1
9197,76.14264211,39.47737593,259.69,1
9198,76.14264211,39.47737593,259.69,1
9199,76.14264211,39.47737593,259.69,1
9200,76.14264211,39.47737593,259.69,1
9201,76.14264211,39.47737593,259.69,1
9202,76.14264211,39.47737593,259.69,1
9203,76.14264211,39.47737593,259.69,1
9204,76.14254012,39.47736206,259.69,1
9205,76.14254012,39.47736206,259.69,1
9206,76.14254012,39.47736206,259.69,1
9207,76.14254012,39.47736206,259.69,1
9208,76.14254012,39.47736206,259.69,1
9209,76.14254012,39.47736206,259.69,1
9210,76.14254012,39.47736206,259.69,1
9211,76.14244971,39.4773498,259.69,1
9212,76.14244971,39.4773498,259.69,1
9213,76.14244971,39.4773498,259.69,1
9214,76.14244971,39.4773498,259.69,1
9215,76.14244971,39.4773498,259.69,1
9216,76.14244971,39.4773498,259.69,1
9217,76.14244971,39.4773498,259.69,1
9218,76.14244971,39.4773498,259.69,1
9219,76.14234761,39.47733594,259.69,1
9220,76.14234761,39.47733594,259.69,1
9221,76.14234761,39.47733594,259.69,1
9222,76.14234761,39.47733594,259.69,1
9223,76.14234761,39.47733594,259.69,1
9224,76.14234761,39.47733594,259.69,1
9225,76.14234761,39.47733594,259.69,1
9226,76.1422572,39.47732367,259.69,1
9227,76.1422572,39.47732367,259.69,1
9228,76.1422572,39.47732367,259.69,1
9229,76.1422572,39.47732367,259.69,1
9230,76.1422572,39.47732367,259.69,1
9231,76.1422572,39.47732367,259.69,1
9232,76.1422572,39.47732367,259.69,1
9233,76.1422572,39.47732367,259.69,1
9234,76.14215521,39.47730981,259.69,1
9235,76.14215521,39.47730981,259.69,1
9236,76.14215521,39.47730981,259.69,1
9237,76.14215521,39.47730981,259.69,1
9238,76.14215521,39.47730981,259.69,1
9239,76.14215521,39.47730981,259.69,1
9240,76.14215521,39.47730981,259.69,1
9241,76.1420648,39.47729743,259.69,1
9242,76.1420648,39.47729743,259.69,1
9243,76.1420648,39.47729743,259.69,1
9244,76.1420648,39.47729743,259.69,1
9245,76.1420648,39.47729743,259.69,1
9246,76.1420648,39.47729743,259.69,1
9247,76.1420648,39.47729743,259.69,1
9248,76.1420648,39.47729743,259.69,1
9249,76.1419627,39.47728357,259.38,1
9250,76.1419627,39.47728357,259.38,1
9251,76.1419627,39.47728357,259.38,1
9252,76.1419627,39.47728357,259.38,1
9253,76.1419627,39.47728357,259.38,1
9254,76.1419627,39.47728357,259.38,1
9255,76.1419627,39.47728357,259.38,1
9256,76.14187309,39.47727131,258.78,1
9257,76.14187309,39.47727131,258.78,1
9258,76.14187309,39.47727131,258.78,1
9259,76.14187309,39.47727131,258.78,1
9260,76.14187309,39.47727131,258.78,1
9261,76.14187309,39.47727131,258.78,1
9262,76.14187309,39.47727131,258.78,1
9263,76.14187309,39.47727131,258.78,1
9264,76.14177374,39.4772579,258.47,1
9265,76.14177374,39.4772579,258.47,1
9266,76.14177374,39.4772579,258.47,1
9267,76.14177374,39.4772579,258.47,1
9268,76.14177374,39.4772579,258.47,1
9269,76.14177374,39.4772579,258.47,1
9270,76.14177374,39.4772579,258.47,1
9271,76.14168722,39.4772461,257.86,1
9272,76.14168722,39.4772461,257.86,1
9273,76.14168722,39.4772461,257.86,1
9274,76.14168722,39.4772461,257.86,1
9275,76.14168722,39.4772461,257.86,1
9276,76.14168722,39.4772461,257.86,1
9277,76.14168722,39.4772461,257.86,1
9278,76.14168722,39.4772461,257.86,1
9279,76.14159108,39.47723303,257.25,1
9280,76.14159108,39.47723303,257.25,1
9281,76.14159108,39.47723303,257.25,1
9282,76.14159108,39.47723303,257.25,1
9283,76.14159108,39.47723303,257.25,1
9284,76.14159108,39.47723303,257.25,1
9285,76.14159108,39.47723303,257.25,1
9286,76.14150708,39.47722157,256.64,1
9287,76.14150708,39.47722157,256.64,1
9288,76.14150708,39.47722157,256.64,1
9289,76.14150708,39.47722157,256.64,1
9290,76.14150708,39.47722157,256.64,1
9291,76.14150708,39.47722157,256.64,1
9292,76.14150708,39.47722157,256.64,1
9293,76.14150708,39.47722157,256.64,1
9294,76.14141357,39.47720885,255.73,1
9295,76.14141357,39.47720885,255.73,1
9296,76.14141357,39.47720885,255.73,1
9297,76.14141357,39.47720885,255.73,1
9298,76.14141357,39.47720885,255.73,1
9299,76.14141357,39.47720885,255.73,1
9300,76.14141357,39.47720885,255.73,1
9301,76.14133164,39.47719762,255.12,1
9302,76.14133164,39.47719762,255.12,1
9303,76.14133164,39.47719762,255.12,1
9304,76.14133164,39.47719762,255.12,1
9305,76.14133164,39.47719762,255.12,1
9306,76.14133164,39.47719762,255.12,1
9307,76.14133164,39.47719762,255.12,1
9308,76.14133164,39.47719762,255.12,1
9309,76.1412402,39.47718525,254.2,1
9310,76.1412402,39.47718525,254.2,1
9311,76.1412402,39.47718525,254.2,1
